id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying
1,@Amoy-s4m,"kadang klo gk sengaja lihat vid ini lgi hati gua dgn lembut berkata ""Fany magang di depan pawang Fany""",kadang klo gk sengaja lihat vid ini lgi hati gua dgn lembut berkata fany magang di depan pawang fany,kadang kalau tidak sengaja lihat vid ini lagi hati saya dengan lembut berkata fany magang di depan pawang fany,kadang kalau sengaja lihat vid lagi hati dengan lembut berkata fany magang depan pawang fany,kadang kalau sengaja lihat vid lagi hati dengan lembut kata fany magang depan pawang fany,0,safe,non-cyberbullying,,0
2,@rikaamalia7550,"hostnya apa bgt anjg mihak rrq trs, toy emg selegendaris itu kah, dikasih telor mampus tuh",hostnya apa bgt anjg mihak rrq trs toy emg selegendaris itu kah dikasih telor mampus tuh,hostnya apa banget anjing mihak rrq terus toy memang selegendaris itu kah kasih telor mampus tuh,hostnya apa banget anjing mihak rrq terus toy memang selegendaris kah kasih telor mampus tuh,hostnya apa banget anjing mihak rrq terus toy memang legendaris kah kasih telor mampus tuh,9,extreme_cyberbullying,cyberbullying,anjing(personal:4); mampus(extreme:5),1
3,@dodikwijaksono9571,"Skylar sm savero sama"" jago, diganti"" goldnya pun tetep auto win",skylar sm savero sama jago diganti goldnya pun tetep auto win,skylar sm savero sama jago diganti goldnya pun tetep auto win,skylar sm savero sama jago diganti goldnya tetep auto win,skylar sm savero sama jago ganti goldnya tetep auto win,0,safe,non-cyberbullying,,0
4,@JerryParhusip-vn3br,TIM ONIC GG,tim onic gg,tim onic gg,tim onic gg,tim onic gg,0,safe,non-cyberbullying,,0
5,@JerryParhusip-vn3br,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,,,,0,safe,non-cyberbullying,,0
6,@MuhammadIcam,Fanny zunes darat cok😂😂😂,fanny zunes darat cok,fanny zunes dapat cok,fanny zunes cok,fanny zunes cok,0,safe,non-cyberbullying,,0
7,@IrfanhanafiIrfan-j7h,Fani nya bot masih jago gw anjirr,fani nya bot masih jago gw anjirr,fani ya bot kasih jago saya anjirr,fani bot kasih jago anjirr,fani bot kasih jago anjirr,0,safe,non-cyberbullying,,0
8,@doodoo7207,Rrq terlalu kuat ngubah pemain. Udah dua tahun kek gini,rrq terlalu kuat ngubah pemain udah dua tahun kek gini,rrq terlalu kuat ngubah pemain sudah dua tahu seperti gini,rrq terlalu kuat ngubah pemain dua tahu gini,rrq terlalu kuat ngubah main dua tahu gin,0,safe,non-cyberbullying,,0
9,@doodoo7207,Kairi di kasih lance 💀,kairi di kasih lance,kairi di kasih lance,kairi kasih lance,kairi kasih lance,0,safe,non-cyberbullying,,0
10,@Randi-t6y,Rinz Rinz jago kagak gendong kagak bacot nya gede banget sampah sampah,rinz rinz jago kagak gendong kagak bacot nya gede banget sampah sampah,rinz rinz jago kagak gendong kagak bacot ya gede banget sampai sampai,rinz rinz jago kagak gendong kagak bacot gede banget sampai,rinz rinz jago kagak gendong kagak bacot gede banget sampai,2,minor_negative,non-cyberbullying,bacot(negative:2),0
11,@FazillaIndira,😮😮😮😮😮😮😮😮,,,,,0,safe,non-cyberbullying,,0
12,@AryShndr-b2x,bagusan set up navi daripada ppq😂,bagusan set up navi daripada ppq,bagusan set up navi daripada ppq,bagusan set up navi ppq,bagus set up navi ppq,0,safe,non-cyberbullying,,0
13,@AbduhSalam-n6u,RRQ tanpa Skylar bisa apa,rrq tanpa skylar bisa apa,rrq tanpa skylar bisa apa,rrq skylar apa,rrq skylar apa,0,safe,non-cyberbullying,,0
14,@mozazilong,19:01 mahal lutpi,mahal lutpi,mahal lutpi,mahal lutpi,mahal lutpi,0,safe,non-cyberbullying,,0
15,@mozazilong,13:06ngapain yam😂,ngapain yam,ngapain ya,ngapain,ngapain,0,safe,non-cyberbullying,,0
16,@ardianbagas5094,Fanny ngepusss njirrrr,fanny ngepusss njirrrr,fanny ngepusss njirrrr,fanny ngepusss njirrrr,fanny ngepusss njirrrr,0,safe,non-cyberbullying,,0
17,@mylovelyhinata2091,"""Sakaratul maut gak tuh "" 😂😅",sakaratul maut gak tuh,sakaratul maut tidak tuh,sakaratul maut tuh,sakaratul maut tuh,0,safe,non-cyberbullying,,0
18,@AdujJarim,Ganti rins ny,ganti rins ny,nanti rins ny,rins ny,rins ny,0,safe,non-cyberbullying,,0
19,@DanishEmeri-l9d,Cw jadi coach jir,cw jadi coach jir,cw jadi coach jir,cw jadi coach jir,cw jadi coach jir,0,safe,non-cyberbullying,,0
20,@JihanaAnait,Dream team vs ????? Kapan pegang piala mpl lagi,dream team vs kapan pegang piala mpl lagi,dream team vs kapan pegang piala mpl lagi,dream team vs kapan pegang piala mpl,dream team vs kapan pegang piala mpl,0,safe,non-cyberbullying,,0
