id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying,sample_weight
1,@AbangDenay-g3k,😢 😮 😅 😊 🎉,,,,,0,safe,non-cyberbullying,,0,0.529178674351585
2,@GalihZamzam,RRQ 😅😅,rrq,rrq,rrq,rrq,0,safe,non-cyberbullying,,0,0.529178674351585
3,@AdulSyahputra404,"Roam Gatot emang otot kawat tulang besi, keras banget 😂",roam gatot emang otot kawat tulang besi keras banget,roam gatot memang otot kawat tulang besi keras banget,roam gatot memang otot kawat tulang besi keras banget,roam gatot memang otot kawat tulang besi keras banget,0,safe,non-cyberbullying,,0,0.529178674351585
4,@DRAKEN_mickey,gantilah rezzzz cuma beban aja,gantilah rezzzz cuma beban aja,gantilah rezzzz cuma beban saja,gantilah rezzzz cuma beban,ganti rezzzz cuma beban,0,safe,non-cyberbullying,,0,0.529178674351585
5,@silverrain347,Kyy gajelas,kyy gajelas,kyy gajelas,kyy gajelas,kyy gajelas,0,safe,non-cyberbullying,,0,0.529178674351585
6,@AdellaPutri-w4o,cobain deh Angkakembar2 benar benar gampang menang besar,cobain deh angkakembar benar benar gampang menang besar,cobain deh angkakembar benar benar gampang memang benar,cobain deh angkakembar benar benar gampang memang benar,cobain deh angkakembar benar benar gampang memang benar,0,safe,non-cyberbullying,,0,0.529178674351585
7,@Amatir_koh,Idok itu r7 bukan?,idok itu r bukan,idok itu r bukan,idok r bukan,idok r bukan,0,safe,non-cyberbullying,,0,0.529178674351585
8,@Tangzzz-777,jangan gampang ke gank,jangan gampang ke gank,jangan gampang ke gank,jangan gampang gank,jangan gampang gank,0,safe,non-cyberbullying,,0,0.529178674351585
9,@cokycoky6518,Tank oon,tank oon,tank oon,tank oon,tank oon,0,safe,non-cyberbullying,,0,0.529178674351585
10,@agungprayogi9671,Ini rrq vs rrq 😂,ini rrq vs rrq,ini rrq vs rrq,rrq vs rrq,rrq vs rrq,0,safe,non-cyberbullying,,0,0.529178674351585
11,@AcunSeptia,Kyy jadi kaya bot mainnya,kyy jadi kaya bot mainnya,kyy jadi kaya bot mainnya,kyy jadi kaya bot mainnya,kyy jadi kaya bot main,3,moderate_toxic,non-cyberbullying,bot(gaming:3),0,0.529178674351585
12,@alfinwirapratamaalfin1265,rrq,rrq,rrq,rrq,rrq,0,safe,non-cyberbullying,,0,0.529178674351585
13,@novalval2308,Out rinz,out rinz,out rinz,out rinz,out rinz,0,safe,non-cyberbullying,,0,0.529178674351585
14,@AD_Champions,Rinz ga ada kata bijak lagi kah 🤣🤣,rinz ga ada kata bijak lagi kah,rinz tidak ada kata bijak lagi kah,rinz ada kata bijak kah,rinz ada kata bijak kah,0,safe,non-cyberbullying,,0,0.529178674351585
15,@SyauqiMrp,Ya mudah-mudahan la di akhir season 16 nanti ..rrq tu GK jdi time lawak lgi...soal ny 2 x finnal ya kan..😂😂😂😂,ya mudahmudahan la di akhir season nanti rrq tu gk jdi time lawak lgisoal ny x finnal ya kan,ya mudahmudahan la di akhir season nanti rrq tu tidak jadi time lawak lgisoal ny x finnal ya akan,mudahmudahan la akhir season rrq tu jadi time lawak lgisoal ny x finnal akan,mudahmudahan la akhir season rrq tu jadi time lawak lgisoal ny x finnal akan,0,safe,non-cyberbullying,,0,0.529178674351585
16,@SyauqiMrp,Di rrq tu yg goblok tu pak apek...rrq tu sebener nya dri season14 GK perlu yg nama nya ..rombak time ..yg perlu itu..rombak mental tim dan belajar dari kekalahan ...,di rrq tu yg goblok tu pak apekrrq tu sebener nya dri season gk perlu yg nama nya rombak time yg perlu iturombak mental tim dan belajar dari kekalahan,di rrq tu yang goblok tu pak apekrrq tu sebener ya dari season tidak perlu yang nama ya rombak time yang perlu iturombak mental tim dan belajar dari kekalahan,rrq tu goblok tu pak apekrrq tu sebener season perlu nama rombak time perlu iturombak mental tim belajar dari kekalahan,rrq tu goblok tu pak apekrrq tu sebener season perlu nama rombak time perlu iturombak mental tim ajar dari kalah,4,moderate_toxic,cyberbullying,goblok(personal:4),1,9.067901234567902
17,@anandaandroid1052,Vyn? Dia jadi coach sekarang?,vyn dia jadi coach sekarang,vyn dia jadi coach sekarang,vyn jadi coach sekarang,vyn jadi coach sekarang,0,safe,non-cyberbullying,,0,0.529178674351585
18,@AlifXsatoru,Evos bot,evos bot,evos bot,evos bot,evos bot,3,moderate_toxic,non-cyberbullying,bot(gaming:3),0,0.529178674351585
19,@ahmadbukori4530,Parah ini,parah ini,parah ini,parah,parah,1,minor_negative,non-cyberbullying,parah(negative:1),0,0.529178674351585
20,@zaroota.s.p6210,Coach EVOS  musuh dalam selimut kocak bner,coach evos musuh dalam selimut kocak bner,coach evos musuh dalam selimut kocak bner,coach evos musuh selimut kocak bner,coach evos musuh selimut kocak bner,0,safe,non-cyberbullying,,0,0.529178674351585
21,@rendyrasyid2789,Sendal kenapa masih dipertahankan ya epos epos,sendal kenapa masih dipertahankan ya epos epos,sendal kenapa kasih dipertahankan ya epos epos,sendal kasih dipertahankan epos epos,sendal kasih tahan epos epos,0,safe,non-cyberbullying,,0,0.529178674351585
22,@AgathanKrisna,Lucunya evos udh tau rrq snowbol malah war terus 😄,lucunya evos udh tau rrq snowbol malah war terus,lucunya evos sudah tahu rrq snowbol malah war terus,lucunya evos tahu rrq snowbol malah war terus,lucu evos tahu rrq snowbol malah war terus,0,safe,non-cyberbullying,,0,0.529178674351585
23,@antowwahyu1050,Kasian albertt berusaha sendiri,kasian albertt berusaha sendiri,kasian albertt berusaha sendiri,kasian albertt berusaha sendiri,kasi albertt usaha sendiri,0,safe,non-cyberbullying,,0,0.529178674351585
24,@antowwahyu1050,Gabakal juara rrq 100%,gabakal juara rrq,gabakal juara rrq,gabakal juara rrq,gabakal juara rrq,0,safe,non-cyberbullying,,0,0.529178674351585
25,@anur665,Setsujin is back🎉❤,setsujin is back,setsujin is back,setsujin is back,setsujin is back,0,safe,non-cyberbullying,,0,0.529178674351585
