id,original_comment,stemmed_comment,toxicity_score,severity_level,category,is_cyberbullying
1,"kadang klo gk sengaja lihat vid ini lgi hati gua dgn lembut berkata ""Fany magang di depan pawang Fany""",kadang kalau sengaja lihat vid lagi hati dengan lembut kata fany magang depan pawang fany,0,safe,non-cyberbullying,0
2,"hostnya apa bgt anjg mihak rrq trs, toy emg selegendaris itu kah, dikasih telor mampus tuh",hostnya apa banget anjing mihak rrq terus toy memang legendaris kah kasih telor mampus tuh,9,extreme_cyberbullying,cyberbullying,1
3,"Skylar sm savero sama"" jago, diganti"" goldnya pun tetep auto win",skylar sm savero sama jago ganti goldnya tetep auto win,0,safe,non-cyberbullying,0
4,TIM ONIC GG,tim onic gg,0,safe,non-cyberbullying,0
5,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,0,safe,non-cyberbullying,0
6,Fanny zunes darat cok😂😂😂,fanny zunes cok,0,safe,non-cyberbullying,0
7,Fani nya bot masih jago gw anjirr,fani bot kasih jago anjirr,0,safe,non-cyberbullying,0
8,Rrq terlalu kuat ngubah pemain. Udah dua tahun kek gini,rrq terlalu kuat ngubah main dua tahu gin,0,safe,non-cyberbullying,0
9,Kairi di kasih lance 💀,kairi kasih lance,0,safe,non-cyberbullying,0
10,Rinz Rinz jago kagak gendong kagak bacot nya gede banget sampah sampah,rinz rinz jago kagak gendong kagak bacot gede banget sampai,2,minor_negative,non-cyberbullying,0
11,😮😮😮😮😮😮😮😮,,0,safe,non-cyberbullying,0
12,bagusan set up navi daripada ppq😂,bagus set up navi ppq,0,safe,non-cyberbullying,0
13,RRQ tanpa Skylar bisa apa,rrq skylar apa,0,safe,non-cyberbullying,0
14,19:01 mahal lutpi,mahal lutpi,0,safe,non-cyberbullying,0
15,13:06ngapain yam😂,ngapain,0,safe,non-cyberbullying,0
16,Fanny ngepusss njirrrr,fanny ngepusss njirrrr,0,safe,non-cyberbullying,0
17,"""Sakaratul maut gak tuh "" 😂😅",sakaratul maut tuh,0,safe,non-cyberbullying,0
18,Ganti rins ny,rins ny,0,safe,non-cyberbullying,0
19,Cw jadi coach jir,cw jadi coach jir,0,safe,non-cyberbullying,0
20,Dream team vs ????? Kapan pegang piala mpl lagi,dream team vs kapan pegang piala mpl,0,safe,non-cyberbullying,0
21,El blunder rinz,el blunder rinz,0,safe,non-cyberbullying,0
22,Game boring lebih menantang NAVI VS ONIC 😂,game boring lebih tantang navi vs onic,0,safe,non-cyberbullying,0
23,#blockrinz,,0,safe,non-cyberbullying,0
24,"Gak usah komen lah cil ujung""nya Manas""in lawan atau pun mendewa""kan tim sendiri.. diliat bocil banget sifat elu..",usah komen lah cil ujung manasin lawan pun dewa tim sendiri liat bocil banget sifat kamu,0,safe,non-cyberbullying,0
25,"Gua aja kingdom liat kagak panas kagak jelek""in tim, liat kopi+rokok+nyantai itulah sifatt dewasa.. kalah menang respack semua tim gua. Oke...",saja kingdom liat kagak panas kagak jelekin tim liat kopirokoknyantai sifatt dewasa kalau memang respack semua tim oke,0,safe,non-cyberbullying,0
26,"JANGAN BISA BACOTT DAN JELEK""IN TIM.. KALO BISANYA BEGITU MAIN AJA SANA SENDIRI EMANG BISA ELU ???",jangan bacott jelekin tim kalau bisa main sana sendiri memang kamu,0,safe,non-cyberbullying,0
27,Awokwok badut tolol,awokwok badut tolol,4,moderate_toxic,cyberbullying,1
28,Toy maen aman aja akwkwkwk,toy maen aman akwkwkwk,0,safe,non-cyberbullying,0
29,Rrq tanpa skylar ga ada yg gendong yg jago cuma lerr,rrq skylar ada gendong jago cuma lerr,0,safe,non-cyberbullying,0
30,"pharsa mainnya pasif selalu mati di base, fanny cuma bisa split push",pharsa main pasif selalu mati base fanny cuma split push,5,moderate_toxic,cyberbullying,1
31,7:01 si kumar unjuk skill depan Midlane jago 🤘😜🤙,si mar skill depan midlane jago,0,safe,non-cyberbullying,0
32,"Meski gua bukan kingdom tapi gua suka legenda RRQ Housi ""Lemon"" siganteng kalem ..",meski bukan kingdom saya suka legenda rrq housi lemon siganteng kalem,0,safe,non-cyberbullying,0
33,Knp g ad pnontonn,knp g ad pnontonn,0,safe,non-cyberbullying,0
34,Itu jijik kli gw lihat cara main Fanny nya,jijik kli lihat cara main fanny,0,safe,non-cyberbullying,0
35,Good,good,0,safe,non-cyberbullying,0
36,lah si zunesh kenapa beli 2item itu lol,lah si zunesh beli item lol,0,safe,non-cyberbullying,0
