id,original_comment,stemmed_comment,toxicity_score,severity_level,category,is_cyberbullying,sample_weight
1,😢 😮 😅 😊 🎉,,0,safe,non-cyberbullying,0,0.5302240750390829
2,RRQ 😅😅,rrq,0,safe,non-cyberbullying,0,0.5302240750390829
3,"Roam Gatot emang otot kawat tulang besi, keras banget 😂",roam gatot memang otot kawat tulang besi keras banget,0,safe,non-cyberbullying,0,0.5302240750390829
4,gantilah rezzzz cuma beban aja,ganti rezzzz cuma beban,0,safe,non-cyberbullying,0,0.5302240750390829
5,Kyy gajelas,kyy gajelas,0,safe,non-cyberbullying,0,0.5302240750390829
6,Idok itu r7 bukan?,idok r bukan,0,safe,non-cyberbullying,0,0.5302240750390829
7,jangan gampang ke gank,jangan gampang gank,0,safe,non-cyberbullying,0,0.5302240750390829
8,Tank oon,tank oon,0,safe,non-cyberbullying,0,0.5302240750390829
9,Ini rrq vs rrq 😂,rrq vs rrq,0,safe,non-cyberbullying,0,0.5302240750390829
10,Kyy jadi kaya bot mainnya,kyy jadi kaya bot main,3,moderate_toxic,non-cyberbullying,0,0.5302240750390829
11,rrq,rrq,0,safe,non-cyberbullying,0,0.5302240750390829
12,Out rinz,out rinz,0,safe,non-cyberbullying,0,0.5302240750390829
13,Rinz ga ada kata bijak lagi kah 🤣🤣,rinz ada kata bijak kah,0,safe,non-cyberbullying,0,0.5302240750390829
14,Ya mudah-mudahan la di akhir season 16 nanti ..rrq tu GK jdi time lawak lgi...soal ny 2 x finnal ya kan..😂😂😂😂,mudahmudahan la akhir season rrq tu jadi time lawak lgisoal ny x finnal akan,0,safe,non-cyberbullying,0,0.5302240750390829
15,Di rrq tu yg goblok tu pak apek...rrq tu sebener nya dri season14 GK perlu yg nama nya ..rombak time ..yg perlu itu..rombak mental tim dan belajar dari kekalahan ...,rrq tu goblok tu pak apekrrq tu sebener season perlu nama rombak time perlu iturombak mental tim ajar dari kalah,4,moderate_toxic,cyberbullying,1,8.77155172413793
16,Vyn? Dia jadi coach sekarang?,vyn jadi coach sekarang,0,safe,non-cyberbullying,0,0.5302240750390829
17,Evos bot,evos bot,3,moderate_toxic,non-cyberbullying,0,0.5302240750390829
18,Parah ini,parah,1,minor_negative,non-cyberbullying,0,0.5302240750390829
19,Coach EVOS  musuh dalam selimut kocak bner,coach evos musuh selimut kocak bner,0,safe,non-cyberbullying,0,0.5302240750390829
20,Sendal kenapa masih dipertahankan ya epos epos,sendal kasih tahan epos epos,0,safe,non-cyberbullying,0,0.5302240750390829
21,Lucunya evos udh tau rrq snowbol malah war terus 😄,lucu evos tahu rrq snowbol malah war terus,0,safe,non-cyberbullying,0,0.5302240750390829
22,Kasian albertt berusaha sendiri,kasi albertt usaha sendiri,0,safe,non-cyberbullying,0,0.5302240750390829
23,Gabakal juara rrq 100%,gabakal juara rrq,0,safe,non-cyberbullying,0,0.5302240750390829
24,Setsujin is back🎉❤,setsujin is back,0,safe,non-cyberbullying,0,0.5302240750390829
25,"17:18 masa menit10 beda 14k gold, udah kaya main di GM😅",masa menit beda k gold kaya main gm,0,safe,non-cyberbullying,0,0.5302240750390829
26,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 gokil bgt, pecah trs ga sia2 anjay",gokil banget pecah terus sia anjay,1,minor_negative,non-cyberbullying,0,0.5302240750390829
27,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Lunas utang, auto kaya cok",lunas utang auto kaya cok,0,safe,non-cyberbullying,0,0.5302240750390829
28,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Cuma depo 100k, jd sultan",cuma depo k jadi sultan,0,safe,non-cyberbullying,0,0.5302240750390829
29,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5 juta, mantap!",depo jadi juta mantap,0,safe,non-cyberbullying,0,0.5302240750390829
30,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5jt anjay,depo jadi jt anjay,1,minor_negative,non-cyberbullying,0,0.5302240750390829
31,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo dikit lunas utang cok,depo dikit lunas utang cok,0,safe,non-cyberbullying,0,0.5302240750390829
32,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru depo 50 ribu, langsung mekswin 5 juta. Gokil ga sih?",baru depo ribu langsung mekswin juta gokil sih,0,safe,non-cyberbullying,0,0.5302240750390829
33,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 member bru pasti jepe,member bru jepe,0,safe,non-cyberbullying,0,0.5302240750390829
34,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Modal kecil mekswin trs,modal kecil mekswin terus,0,safe,non-cyberbullying,0,0.5302240750390829
35,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru maen udah mekswin, gila!",baru maen mekswin gila,0,safe,non-cyberbullying,0,0.5302240750390829
36,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 mekswin trs jd lupa utang,mekswin terus jadi lupa utang,0,safe,non-cyberbullying,0,0.5302240750390829
37,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 gokil bgt, pecah trs ga sia2 anjay",gokil banget pecah terus sia anjay,1,minor_negative,non-cyberbullying,0,0.5302240750390829
38,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5 juta, mantap!",depo jadi juta mantap,0,safe,non-cyberbullying,0,0.5302240750390829
39,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Lunas utang, auto kaya cok",lunas utang auto kaya cok,0,safe,non-cyberbullying,0,0.5302240750390829
40,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo dikit lunas utang cok,depo dikit lunas utang cok,0,safe,non-cyberbullying,0,0.5302240750390829
41,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5jt anjay,depo jadi jt anjay,1,minor_negative,non-cyberbullying,0,0.5302240750390829
42,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Modal kecil mekswin trs,modal kecil mekswin terus,0,safe,non-cyberbullying,0,0.5302240750390829
43,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru maen udah mekswin, gila!",baru maen mekswin gila,0,safe,non-cyberbullying,0,0.5302240750390829
44,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 mekswin trs jd lupa utang,mekswin terus jadi lupa utang,0,safe,non-cyberbullying,0,0.5302240750390829
45,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru depo 50 ribu, langsung mekswin 5 juta. Gokil ga sih?",baru depo ribu langsung mekswin juta gokil sih,0,safe,non-cyberbullying,0,0.5302240750390829
46,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 member bru pasti jepe,member bru jepe,0,safe,non-cyberbullying,0,0.5302240750390829
47,Jangan di ubah lagi sutsujin kemistrinya rrq udah bagus,jangan ubah sutsujin mistri rrq bagus,0,safe,non-cyberbullying,0,0.5302240750390829
48,Rinz ga bisa main lele,rinz bisa main lele,0,safe,non-cyberbullying,0,0.5302240750390829
49,Toy cuma bisa granger,toy cuma granger,0,safe,non-cyberbullying,0,0.5302240750390829
50,"Kata onic,badut vs badutttt",kata onicbadut vs badutttt,0,safe,non-cyberbullying,0,0.5302240750390829
